name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
liq_otro,Liq_otro,nino,d. Alimentación,Líquidos que le dio al niño ayer: Otros líquidos,text,,,,,
liq_otro_especifique,Liq_otro_especifique,nino,d. Alimentación,"Líquidos que le dio al niño ayer: Otros líquidos, especificado",binary,,,1;2,,
edad_iniciar_alimentos,Edad_iniciar_alimentos,nino,d. Alimentación,Edad en meses cuando le inició a dar alimentos que no son líquidos (98=Todavía no come),numeric_integer,0,36,,months,
alim_grano,Alim_grano,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Cereales, pan, tortilla, arroz, pasta u otra comida hecha de granos",binary,,,1;2,,
alim_verdura_amarilla,Alim_verdura_amarilla,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Güicoy sazón, ayote, zanahoria, camote u otra verdura amarilla/anaranjada",binary,,,1;2,,
alim_tuberculo,Alim_tuberculo,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Papas blancas, yuca, malanga, ichintal u otra verdura que sea raíz",binary,,,1;2,,
alim_verdeoscuro,Alim_verdeoscuro,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Hojas/hierbas color verde oscuro como macuy, bledo, espinacas, o acelga",binary,,,1;2,,
alim_fruta_anaranjada,Alim_fruta_anaranjada,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Mango maduro, papaya o mamey",binary,,,1;2,,
alim_otra_fv,Alim_otra_fv,nino,d. Alimentación,Alimentos que le dio al niño ayer: Alguna otra verdura o fruta,binary,,,1;2,,
alim_carne,Alim_carne,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Cualquier carne como res, cerdo, pollo, cordero, cabra, carnes de monte o pato",binary,,,1;2,,
alim_huevo,Alim_huevo,nino,d. Alimentación,Alimentos que le dio al niño ayer: Huevos,binary,,,1;2,,
alim_pescado,Alim_pescado,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Pescado fresco o seco, mariscos o conchas",binary,,,1;2,,
alim_leguminosa_nuez,Alim_leguminosa_nuez,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Frijoles, arvejas, habas, lentejas, nueces o semillas",binary,,,1;2,,
alim_prod_lacteo,Alim_prod_lacteo,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Queso, crema, yogurt u otro producto derivado de la leche",binary,,,1;2,,
alim_prod_lacteo_veces,Alim_prod_lacteo_veces,nino,d. Alimentación,"Alimentos que le dio al niño ayer, número de veces: Queso, crema, yogurt u otro producto derivado de la leche",factor,,,1;2;3;4;7,,
alim_aceite,Alim_aceite,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Comidas hechas con aceite, manteca, mantequilla o mayonesa",binary,,,1;2,,
alim_dulce,Alim_dulce,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Comidas dulces como chocolate, dulces, pastel o galletas",binary,,,1;2,,
alim_condimentos,Alim_condimentos,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Condimentos: chiles, especies, hierbas, kétchup, mostaza o pasta de tomate",binary,,,1;2,,
alim_insectos,Alim_insectos,nino,d. Alimentación,"Alimentos que le dio al niño ayer: Larvas, insectos o caracoles",binary,,,2,,
alim_aceite_palma,Alim_aceite_palma,nino,d. Alimentación,Alimentos que le dio al niño ayer: Comidas hechas con aceite de palma,binary,,,1;2,,
