name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
nboletahogar,nboletahogar,nino,a. Información básica,número del cuestionario del hogar,id,,,,,
pesonino,pesonino,nino,a. Información básica,Pesos muestrales para niños,numeric_continuous,0,100000,,,survey weights for child sample
conglomerado,Conglomerado,nino,a. Información básica,ID Cartográfica: conglomerado; utiliza para corregir los errores estándares en todos los análisis,numeric_continuous,0,100000000,,id,cluster identifier
feradj,FERadj,nino,g. Índices biológicos,Ferritina sérica (SF) [mcg/L] ajustado por Proteína C reactiva (CRP) y Glicoproteína ácido alfa 1 (AGP) según BRINDA,numeric_continuous,0,2000,,ug/L,
stfradj,sTFRadj,nino,g. Índices biológicos,Receptores solubles de transferrina (sTFR) [mg/L] ajustado por Glicoproteína ácido alfa 1 (AGP) según BRINDA,numeric_continuous,0,50,,mg/L,
rbpadj,RBPadj,nino,g. Índices biológicos,Proteína Fijadora de Retinol [RBP]  [mcmol/L] corregida por inflamación por BRINDA,numeric_continuous,0,10,,umol/L,
boletanino,BOLETANINO,nino,a. Información básica,número del cuestionario del niño,id,,,,,
notabletan,NOTABLETAN,nino,a. Información básica,número de la tableta,id,,,,,
nlinea,NLINEA,nino,a. Información básica,número de línea (A029 de cuestionario de hogar),id,,,,,
sexonino,SexoNino,nino,b. Characterísticas generales,Sexo del niño,binary,,,1;2,,
alturaindnino,ALTURAINDNINO,nino,g. Índices biológicos,Altura sobre nivel del mar del niño (m),numeric_continuous,0,4500,,m,altitude m above sea level
fer,FER,nino,g. Índices biológicos,Ferritina sérica (SF) [mcg/L],numeric_continuous,0,2000,,ug/L,
stfr,STFR,nino,g. Índices biológicos,Receptores solubles de transferrina (sTFR) [mg/L],numeric_continuous,0,50,,mg/L,
bis,BIS,nino,g. Índices biológicos,Reservas de Hierro Corporal (BIS) [MG/KG Peso],numeric_continuous,-15,30,,mg/kg,Body Iron Stores; negative legitimate (deficit)
rbp,RBP,nino,g. Índices biológicos,Proteína fijadora de retinol (RBP) [mcmol/L],numeric_continuous,0,10,,umol/L,
obs_rbp,Obs_RBP,nino,g. Índices biológicos,Observaciones del analisis de RBP,binary,,,>UDL (6.0),,
crp,CRP,nino,g. Índices biológicos,Proteína C reactiva (CRP) [mg/L],numeric_continuous,0,300,,mg/L,
obs_crp,Obs_CRP,nino,g. Índices biológicos,Observaciones del analisis de CRP,binary,,,<LDL (0.05),,
agp,AGP,nino,g. Índices biológicos,Glicoproteína ácido alfa 1 (AGP) [g/L],numeric_continuous,0,5,,g/L,
brc_def_fer_nino,brc_DEF_FER_NINO,nino,g. Índices biológicos,Ferritina Baja(<12 mcg/L)-corregida por inflamación segun BRINDA,binary,,,No;SI,,
def_fer_nino,DEF_FER_NINO,nino,g. Índices biológicos,Ferritina Baja(<12 mcg/L) - no corregida por inflamación,binary,,,No;SI,,
elevtfr_brc,elevTFR_BRC,nino,g. Índices biológicos,Receptores solubles de Transferrina [sTfR] Elevada (>8.3 mg/L)-corregida por inflamación segun BRINDA,binary,,,No;SI,,
anemian,ANEMIAN,nino,g. Índices biológicos,Anemia en el niño (Hb ajustada <11 g/dL),binary,,,1 SI;2 NO,,
brc_ida_nino,brc_IDA_NINO,nino,g. Índices biológicos,"Anemia por deficiencia de hierro [IDA], HB<11 g/dL (ajustada por altitud) & SF <12 mcg/L (corregida por inflamación segun BRINDA)",binary,,,No;SI,,
ida_nino,IDA_NINO,nino,g. Índices biológicos,"Anemia por deficiencia de hierro [IDA], HB<11 g/dL (ajustada por altitud) & SF <12 mcg/L (no corregida por inflamación)",binary,,,No;SI,,
elevtfr,elevTFR,nino,g. Índices biológicos,Receptores solubles de Transferrina [sTfR] Elevada(>8.3 mg/L)-no corregida por inflamación,binary,,,No;SI,,
elisa_data,Elisa_data,nino,g. Índices biológicos,Variable indicador para no faltar datos de ELISA,binary,,,0;1,,
talla_cm,Talla_cm,nino,f. Antropometría,Talla/longitud del niño (cm),numeric_continuous,30,200,,cm,anthropometric height/length
medida_lh,medida_lh,nino,f. Antropometría,Medida Talla (H) o Longitud (L),binary,,,H;L,,
peso_kg,Peso_kg,nino,f. Antropometría,Peso del niño (kg) - menos peso de su ropa,numeric_continuous,0.5,200,,kg,anthropometric weight
muac_cm,MUAC_cm,nino,f. Antropometría,Perímetro braquial (cm),numeric_continuous,5,74.2,,cm,mid-upper arm circumference
edad_an,Edad_an,nino,b. Characterísticas generales,Edad del niño (años) calculado de fecha de nacimiento,numeric_integer,0,100,,years,
edad_mes,Edad_mes,nino,b. Characterísticas generales,Edad del niño (meses) calculado de fecha de nacimiento,numeric_integer,0,60.8333,,months,
edad_dias,Edad_dias,nino,b. Characterísticas generales,Edad del niño (días) calculado de fecha de nacimiento,numeric_integer,0,2200,,days,
cbmi,_CBMI,nino,f. Antropometría,Indice de Masa Corporal calculado por el macro de OMS,numeric_continuous,0,29.21915,,,bounds inferred from observed range with buffer; requires review
zwei,_ZWEI,nino,f. Antropometría,Peso por edad puntuación Z calculado por el macro de OMS,numeric_continuous,-6,6,,z-score,
zlen,_ZLEN,nino,f. Antropometría,Longitúd/talla por edad puntuación Z calculado por el macro de OMS,numeric_continuous,-6,6,,z-score,
zwfl,_ZWFL,nino,f. Antropometría,Peso por longitúd/talla puntuación Z calculado por el macro de OMS,numeric_continuous,-6,6,,z-score,
zbmi,_ZBMI,nino,f. Antropometría,Indice de Masa Corporal Puntuación Z calculado por el macro de OMS,numeric_continuous,-6,49.18,,z-score,
wfh,WFH,nino,f. Antropometría,"Categorías de Peso por longitúd/talla puntuación Z: 1=Desnutrición aguda, 0=No desnutrición aguda",binary,,,0;1,,
hfa,HFA,nino,f. Antropometría,"Categorías de Longitúd/talla por edad puntuación Z: 1=Desnutrición crónica, 0=No desnutrición crónica",numeric_integer,0,1,,,
wfa,WFA,nino,f. Antropometría,"Categorías de Peso por edad puntuación Z: 1=Desnutrición global, 0=No desnutrición global",binary,,,0;1,,
imc,IMC,nino,f. Antropometría,"Categorías de Indice de Masa Corporal: 0=Peso Normal, 1=Bajo Peso, 2=Sobrepeso",factor,,,0;1;2,,
edadmeses,edadmeses,nino,b. Characterísticas generales,Categorías de edad del niño en meses,factor,,,A.0-5m;B.6-11m;C.12-23m;D.24-35m;E.36-47m;F.48-59m,,
grupoetnico,GrupoEtnico,nino,b. Characterísticas generales,"Grupo étnico del niño: Indígena o no indígena, por observación del entrevistador",binary,,,Indígena;No indígena,,
grupoetnico_reportado,GrupoEtnico_reportado,nino,b. Characterísticas generales,"Grupo étnico del niño: Indígena o no indígena, reportado de la madre",binary,,,Indígena;No indígena,,
resultado_entrevista1,Resultado_entrevista1,nino,a. Información básica,"Resultado de la primera entrevista (completa, parcial, etc), utilizado para determinar la proporción de encuestados",factor,,,1;2;3;4;5;96,,
resultado_entrevista2,Resultado_entrevista2,nino,a. Información básica,"Resultado de la segunda entrevista (completa, parcial, etc), utilizado para determinar la proporción de encuestados",factor,,,1;3;5,,
resultado_entrevista3,Resultado_entrevista3,nino,a. Información básica,"Resultado de la tercera entrevista (completa, parcial, etc), utilizado para determinar la proporción de encuestados",binary,,,1,,
idioma_entrevista,Idioma_entrevista,nino,a. Información básica,Idioma de la entrevista,factor,,,1;2;3;4;5;9;11;96,,
idioma_entrevista_otro,Idioma_entrevista_otro,nino,a. Información básica,"Idioma de la entrevista, otro especificado",binary,,,chuj,,
uso_interprete,Uso_interprete,nino,a. Información básica,Usó un interprete: Sí o No,binary,,,1;2,,
idioma_materno,Idioma_materno,nino,a. Información básica,El idioma materno del encuestado,factor,,,01;02;03;04;05;07;08;11;12;13;14;96,,
idioma_materno_otro,Idioma_materno_otro,nino,a. Información básica,"Otro idioma materno del encuestado, especificado",factor,,,Achi;AXI;chuj;CHUJ;CHUJ COATANECO,,
edad_nino_filtro,Edad_nino_filtro,nino,b. Characterísticas generales,Edad del niño reportado por el encuestado (filtro para la encuesta),factor,,,0;1;2;3;4;5,,
grupoetnico_otro,GrupoEtnico_otro,nino,b. Characterísticas generales,"Grupo étnico del niño: otro especificado, por observación del entrevistador",text,,,,,
grupoetnico_reportado_otro,GrupoEtnico_reportado_otro,nino,b. Characterísticas generales,"Grupo étnico del niño: otro especificado, reportado de la madre",factor,,,MAYA;MESTIZA;MESTIZO;NO SABE,,
carnet_salud_tiene,Carnet_salud_tiene,nino,c. Salud en la niñez,Tiene el carné de salud infantil o de vacunación,factor,,,1;2;99,,
carnet_salud_tuvo,Carnet_salud_tuvo,nino,c. Salud en la niñez,Alguna vez tuvo el carné de salud infantil o de vacunación,factor,,,1;2;98,,
carnet_salud_reposicion,Carnet_salud_reposicion,nino,c. Salud en la niñez,El carné de salud es el primero o es reposición,factor,,,1;2;98,,
bcg,BCG,nino,c. Salud en la niñez,BCG-dosis unica inyectada bracitio izquierdo,binary,,,01-Si;02-No,,
hepb_1,hepb_1,nino,c. Salud en la niñez,Hepatitis B-1,binary,,,01-Si;02-No,,
polio_1,polio_1,nino,c. Salud en la niñez,Polio 1--tomada en gotitas,binary,,,01-Si;02-No,,
penta_1,penta_1,nino,c. Salud en la niñez,Pentatavalente(penta)-1 inyectada en la piernita,binary,,,01-Si;02-No,,
rota_1,rota_1,nino,c. Salud en la niñez,Rotavirus-1 tomada en gotitas,binary,,,01-Si;02-No,,
neumo_1,neumo_1,nino,c. Salud en la niñez,Neumococo 1,binary,,,01-Si;02-No,,
polio_2,polio_2,nino,c. Salud en la niñez,Polio 2,binary,,,01-Si;02-No,,
penta_2,penta_2,nino,c. Salud en la niñez,Penta 2,binary,,,01-Si;02-No,,
rota_2,rota_2,nino,c. Salud en la niñez,Rotavirus-2,binary,,,01-Si;02-No,,
neumo_2,neumo_2,nino,c. Salud en la niñez,Neumococo 2,binary,,,01-Si;02-No,,
polio_3,polio_3,nino,c. Salud en la niñez,Polio 3,binary,,,01-Si;02-No,,
penta_3,penta_3,nino,c. Salud en la niñez,Penta 3,binary,,,01-Si;02-No,,
spr,spr,nino,c. Salud en la niñez,"SPR-samarampion, paperas,rubeola",binary,,,01-Si;02-No,,
neumo_refuerzo,neumo_refuerzo,nino,c. Salud en la niñez,Neumococo refuerzo,binary,,,01-Si;02-No,,
polio_refuerzo1,polio_refuerzo1,nino,c. Salud en la niñez,Polio refuerzo 1,binary,,,01-Si;02-No,,
dpt_refuerzo1,dpt_refuerzo1,nino,c. Salud en la niñez,DPT refuerzo 1,binary,,,01-Si;02-No,,
polio_refuerzo2,polio_refuerzo2,nino,c. Salud en la niñez,Polio refuerzo 2,binary,,,01-Si;02-No,,
dpt_refuerzo2,dpt_refuerzo2,nino,c. Salud en la niñez,DPT refuerzo 2,binary,,,01-Si;02-No,,
anti_influenza,anti_influenza,nino,c. Salud en la niñez,Influenza-anote del ultima,binary,,,01-Si;02-No,,
control_carnet_antro,Control_carnet_antro,nino,c. Salud en la niñez,¿Tiene el carné infantil información sobre toma de peso y de talla?,factor,,,1;2;3;4,,
control_antro_vez,Control_antro_vez,nino,c. Salud en la niñez,Alguna vez han pesado o medido la talla/estatura del niño,factor,,,1;2;98,,
control_numero_peso,Control_numero_peso,nino,c. Salud en la niñez,número de controles de peso que aparecen registrados en carné en los últimos 12 meses,numeric_continuous,0,19.5,,,bounds inferred from observed range with buffer; requires review
control_numero_peso_noreg,Control_numero_peso_NoReg,nino,c. Salud en la niñez,Ningún control de peso registrado en los últimos 12 meses,binary,,,01-No;01-Si,,
control_numero_peso_nocarnet,Control_numero_peso_NoCarnet,nino,c. Salud en la niñez,No tiene carné de salud para anotar controles de peso,binary,,,01-No;01-Si,,
control_fecha_peso_penultimo,Control_fecha_peso_penultimo,nino,c. Salud en la niñez,Fecha del penúltimo control de peso,numeric_continuous,0,22292,,,bounds inferred from observed range with buffer; requires review
control_fecha_peso_ultimo,Control_fecha_peso_ultimo,nino,c. Salud en la niñez,Fecha del último control de peso,numeric_continuous,0,22420,,,bounds inferred from observed range with buffer; requires review
control_numero_talla,Control_numero_talla,nino,c. Salud en la niñez,número de controles de talla que aparecen registrados en carné en los últimos 12 meses,numeric_continuous,0,21,,,bounds inferred from observed range with buffer; requires review
control_numero_talla_noreg,Control_numero_talla_NoReg,nino,c. Salud en la niñez,Ningún control de talla registrado en los últimos 12 meses,binary,,,No;Yes,,
control_numero_talla_nocarnet,Control_numero_talla_NoCarnet,nino,c. Salud en la niñez,No tiene carné de salud para anotar controles de talla,binary,,,No;Yes,,
control_fecha_talla_penultimo,Control_fecha_talla_penultimo,nino,c. Salud en la niñez,Fecha del penúltimo control de talla,numeric_continuous,0,22544,,,bounds inferred from observed range with buffer; requires review
control_fecha_talla_ultimo,Control_fecha_talla_ultimo,nino,c. Salud en la niñez,Fecha del último control de talla,numeric_continuous,0,22353,,,bounds inferred from observed range with buffer; requires review
intervalo,Intervalo,nino,c. Salud en la niñez,Meses entre los últimos dos controles(revision de carné),numeric_continuous,-11.2333,200,,months,
control_puntos_graficas,Control_puntos_graficas,nino,c. Salud en la niñez,Aparecen puntos marcados en las gráficas de peso/talla,factor,,,1;2;3;98,,
control_linea_graficas,Control_linea_graficas,nino,c. Salud en la niñez,Aparecen líneas marcadas en las gráficas de peso/talla,factor,,,1;2;3;98,,
control_pesado,Control_pesado,nino,c. Salud en la niñez,niño pesado en los últimos 12 meses (reportado por la madre),factor,,,1;2;98,,
control_medido,Control_medido,nino,c. Salud en la niñez,La talla del niño medido en los últimos 12 meses (reportado por la madre),binary,,,1;2,,
control_donde,Control_donde,nino,c. Salud en la niñez,Donde pesan y miden al niño,factor,,,1;2;3;4;5;6;96,,
control_quien,Control_quien,nino,c. Salud en la niñez,Quien pesa y mide al niño,factor,,,1;2;3;4;96;98,,
control_quien_otro,Control_quien_otro,nino,c. Salud en la niñez,"Quien pesa y mide al niño, otro especificado",binary,,,PRACTICANTE DE ENFERMERIA,,
control_estado_peso,Control_estado_peso,nino,c. Salud en la niñez,La última vez que pesaron al niño le dijeron si estaba bien de peso o con bajo peso o peso demasiado alto,factor,,,1;2;3;4;98,,
control_estado_talla,Control_estado_talla,nino,c. Salud en la niñez,La última vez que midieron la talla/estatura del niño le dijeron si estaba bien de talla o con talla baja,factor,,,1;2;3;4;98,,
control_consejo_comer,Control_consejo_comer,nino,c. Salud en la niñez,"La última vez que pesaron al niño, le aconsejaron acerca de lo que debía comer",factor,,,1;2;98,,
medicina_ayer,Medicina_ayer,nino,c. Salud en la niñez,"Ayer, le dieron a alguna medicina o vitaminas",binary,,,1;2,,
suero_ayer,Suero_ayer,nino,c. Salud en la niñez,"Ayer, le dieron a suero oral",binary,,,1;2,,
edad_6meses_filtro,Edad_6meses_filtro,nino,c. Salud en la niñez,niño tiene 6 meses o más (filtro para la encuesta),binary,,,1;2,,
control_carnet_micron,Control_carnet_micron,nino,c. Salud en la niñez,¿Tiene el carné infantil información sobre la entrega de suplementos de micronutrientes durante los controles?,factor,,,1;2;98,,
control_vitaminaa,Control_VitaminaA,nino,c. Salud en la niñez,Alguna vez en una visita médica o monitoreo de crecimiento le administraron Vitamina A al niño,factor,,,1;2;98,,
control_vitaminaa_tiempo,Control_VitaminaA_tiempo,nino,c. Salud en la niñez,Hace cuanto tiempo le administraron al niño la Vitamina A,binary,,,0-3 meses;7+ meses,,
chispitas_vez,Chispitas_vez,nino,c. Salud en la niñez,"Alguna vez obtuvo sobres de vitaminas y minerales espolvoreados o ""Chispitas"" para darle al niño",factor,,,1;2;3;98,,
chispitas_nunca_noservicios,Chispitas_nunca_noservicios,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: no asisten a los servicios de salud,binary,,,No;Yes,,
chispitas_nunca_nohabia,Chispitas_nunca_nohabia,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: no había chispitas en el servicio,binary,,,No;Yes,,
chispitas_nunca_nolegusta,Chispitas_nunca_nolegusta,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: ella rehusó porque no le gustan,binary,,,No,,
chispitas_nunca_efectos,Chispitas_nunca_efectos,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: ella rehusó por temor a los efectos secundarios,binary,,,No,,
chispitas_nunca_noconoce,Chispitas_nunca_noconoce,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: ella rehusó porque no las conoce,binary,,,No,,
chispitas_nunca_rechazado,Chispitas_nunca_rechazado,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: ella rehusó porque alguno de sus hijos lo ha rechazado,binary,,,No,,
chispitas_nunca_nocome,Chispitas_nunca_nocome,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: ella rehusó porque hijo/a no come todavía,binary,,,No;Yes,,
chispitas_nunca_dificil,Chispitas_nunca_dificil,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: ella rehusó porque es difícil usarlas,binary,,,No,,
chispitas_nunca_otro,Chispitas_nunca_otro,nino,c. Salud en la niñez,Por qué motivos nunca obtuvo chispitas: otro,binary,,,No;Yes,,
chispitas_nunca_otro_esp,Chispitas_nunca_otro_esp,nino,c. Salud en la niñez,"Por qué motivos nunca obtuvo chispitas: otro, especificado",text,,,,,
chispitas_6mes,Chispitas_6mes,nino,c. Salud en la niñez,"En los últimos 6 meses obtuvo sobres de vitaminas y minerales espolvoreados o ""Chispitas"" para darle al niño",binary,,,1;2,,
chispitas_no6mes_noservicios,Chispitas_no6mes_noservicios,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: no asisten a los servicios de salud,binary,,,No;Yes,,
chispitas_no6mes_nohabia,Chispitas_no6mes_nohabia,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: no había chispitas en el servicio,binary,,,No;Yes,,
chispitas_no6mes_nolegusta,Chispitas_no6mes_nolegusta,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: ella rehusó porque no le gustan,binary,,,No,,
chispitas_no6mes_efectos,Chispitas_no6mes_efectos,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: ella rehusó por temor a los efectos secundarios,binary,,,No;Yes,,
chispitas_no6mes_noprep,Chispitas_no6mes_noprep,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: ella rehusó porque no supo prepararlas,binary,,,No,,
chispitas_no6mes_rechazado,Chispitas_no6mes_rechazado,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: ella rehusó porque alguno de sus hijos lo ha rechazado,binary,,,No,,
chispitas_no6mes_nocome,Chispitas_no6mes_nocome,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: ella rehusó porque hijo/a no come todavía,binary,,,No;Yes,,
chispitas_no6mes_dificil,Chispitas_no6mes_dificil,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: ella rehusó porque es difícil usarlas,binary,,,No,,
chispitas_no6mes_otro,Chispitas_no6mes_otro,nino,c. Salud en la niñez,Por qué motivos no obtuvo chispitas en los últimos 6 meses: otro,binary,,,No;Yes,,
chispitas_no6mes_otro_esp,Chispitas_no6mes_otro_esp,nino,c. Salud en la niñez,"Por qué motivos no obtuvo chispitas en los últimos 6 meses: otro, especificado",text,,,,,
chispitas_donde,Chispitas_donde,nino,c. Salud en la niñez,"Donde obtuvo sobres de vitaminas y minerales espolvoreados o ""Chispitas"" para darle al niño",factor,,,1;2;3;4;96,,
chispitas_todo_parte,Chispitas_todo_parte,nino,c. Salud en la niñez,Le dio todo o parte de las vitaminas y minerales espolvoreados a su niño(a),factor,,,1;2;98,,
chispitas_sobresdelpaquete,Chispitas_sobresdelpaquete,nino,c. Salud en la niñez,"Del paquete de sobres de vitaminas y minerales espolvoreados, cuanto le dio",factor,,,1;2;3;4;98,,
chispitas_notodo_razon,Chispitas_notodo_razon,nino,c. Salud en la niñez,¿Por qué no dio el total de dosis de vitaminas y minerales a su niño(a)?,factor,,,1;2;3;4;6;96,,
chispitas_notodo_razon_o,Chispitas_notodo_razon_o,nino,c. Salud en la niñez,"¿Por qué no dio el total de dosis de vitaminas y minerales a su niño(a)?, otra razón",factor,,,"ELLA NO SABE NO ES LA M ADRE, LA MADRE FALLECIO;NO LE DA DE COMER;POR DESCONFIANZA;POR ENFERMEDAD Y CONSEJO MÉDICO LE DIERON OTRO MEDICAMENTO PARA LA ANEMIA Y NO SE LAS DIO;POR QUE LE DIO LA OTRA A MITAD A SU OTRA HIJA;POR QUE SE LE OLVIDO AMLA EMPLEADA;PORQUE EL PEDIATRA LE RESETABA OTRAS VITAMINAS;porque no le gusta daselos;SÓLO SE LAS DA CUANDO LE DA COMIDAS ESPESAS;TODAVIA LAS ESTA TOMANDO",,
chispitas_queimpide_a,Chispitas_queimpide_A,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: olor o sabor (a ella),binary,,,No;Yes,,
chispitas_queimpide_b,Chispitas_queimpide_B,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: olor o sabor (al niño),binary,,,No;Yes,,
chispitas_queimpide_c,Chispitas_queimpide_C,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: cambio de color (a ella),binary,,,No;Yes,,
chispitas_queimpide_d,Chispitas_queimpide_D,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: cambio de color (al niño),binary,,,No;Yes,,
chispitas_queimpide_e,Chispitas_queimpide_E,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: le preocupan efectos secundarios,binary,,,No;Yes,,
chispitas_queimpide_f,Chispitas_queimpide_F,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: quita mucho tiempo,binary,,,No;Yes,,
chispitas_queimpide_g,Chispitas_queimpide_G,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: difícil preparar,binary,,,No;Yes,,
chispitas_queimpide_x,Chispitas_queimpide_X,nino,c. Salud en la niñez,Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste: otro,binary,,,No;Yes,,
chispitas_queimpide_o,Chispitas_queimpide_o,nino,c. Salud en la niñez,"Algo que no le gusta del uso de las chispitas y qué impide que usted se la dé a su niño o que hace que a su niño(a) no le guste, otro especificado",factor,,,ABASE LOS DABA PERO NIÑA LO RE;ALNIÑONOLEGUSTAN;LAS SABA PERO LA NIÑA NO QUER;NADA;NADA INDIFERENTE;NO ES LA MADRE NO SABE;NO ESTABA BIEN;NO HAY NADA QUE IMPIDA DARLE;NO LE DA DE COMER;SE LE OLVIDA DARCELO;SÓLO EN COMIDAS ESPESAS,,
chispitas_ninguna_razon,Chispitas_ninguna_razon,nino,c. Salud en la niñez,Razones porque no le dio ninguna de las dosis de vitaminas a su niño(a),factor,,,1;2;3;4;5;96,,
chispitas_ninguna_razon_o,Chispitas_ninguna_razon_o,nino,c. Salud en la niñez,"Razones porque no le dio ninguna de las dosis de vitaminas a su niño(a), otro especificado",factor,,,LE LOS DEL PEDIATRA;NIÑO NO COME AUN;NIÑOESPECIALNOCOMESOLIDO;NO COME;NO LO NESECITA;TODAVIA NO COME,,
chispitas_tiempo,Chispitas_tiempo,nino,c. Salud en la niñez,"Hace cuanto tiempo que le dio al niño un sobre de vitaminas y minerales espolvoreados o ""Chispitas""",binary,,,0-3 meses;7+ meses,,
chispitas_cantidad,Chispitas_cantidad,nino,c. Salud en la niñez,"Ayer, cuantos sobres de vitaminas y minerales espolvoreados o ""Chispitas"" le dio al niño",factor,,,0;1;2;3;60,,
chispitas_cantidad_ns,Chispitas_cantidad_NS,nino,c. Salud en la niñez,"No sabe cuantos sobres de vitaminas y minerales espolvoreados o ""Chispitas"" le dio al niño ayer",binary,,,No;Yes,,
chispitas_mezcla_a,Chispitas_mezcla_A,nino,c. Salud en la niñez,"¿En qué alimento o líquido mezcla las chispitas? Ninguno, le doy directamente del sobre",binary,,,No;Yes,,
chispitas_mezcla_b,Chispitas_mezcla_B,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Comidas suaves,binary,,,No;Yes,,
chispitas_mezcla_c,Chispitas_mezcla_C,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Caldos o sopas,binary,,,No;Yes,,
chispitas_mezcla_d,Chispitas_mezcla_D,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Productos lácteos,binary,,,No;Yes,,
chispitas_mezcla_e,Chispitas_mezcla_E,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Atoles,binary,,,No;Yes,,
chispitas_mezcla_f,Chispitas_mezcla_F,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Enpacha de fórmula/ leche materna,binary,,,No;Yes,,
chispitas_mezcla_g,Chispitas_mezcla_G,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Agua,binary,,,No;Yes,,
chispitas_mezcla_h,Chispitas_mezcla_H,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Jugo,binary,,,No;Yes,,
chispitas_mezcla_i,Chispitas_mezcla_I,nino,c. Salud en la niñez,¿En qué alimento o líquido mezcla las chispitas? Otro,binary,,,No;Yes,,
chispitas_mezcla_otro,Chispitas_mezcla_otro,nino,c. Salud en la niñez,"Otro alimento con que mezcla las chispitas para darle al niño, especificado",text,,,,,
acidofolico_vez,AcidoFolico_vez,nino,c. Salud en la niñez,Alguna vez obtuvo tabletas de ácido fólico para darle al niño,factor,,,1;2;98,,
acidofolico_3mes,AcidoFolico_3mes,nino,c. Salud en la niñez,En los últimos 3 meses obtuvo tabletas de ácido fólico para darle al niño,factor,,,1;2;98,,
acidofolico_donde,AcidoFolico_donde,nino,c. Salud en la niñez,Donde obtuvo tabletas de ácido fólico para darle al niño,factor,,,1;2;3;6;96,,
acidofolico_tiempo,AcidoFolico_tiempo,nino,c. Salud en la niñez,Hace cuanto tiempo que le dio al niño una tableta de ácido fólico,binary,,,0-3 meses;7+ meses,,
hierro_vez,Hierro_vez,nino,c. Salud en la niñez,Alguna vez obtuvo pastillas o jarabe de hierro para darle al niño,factor,,,1;2;3;98,,
hierro_3mes,Hierro_3mes,nino,c. Salud en la niñez,En los últimos 3 meses obtuvo pastillas o jarabe de hierro para darle al niño,factor,,,1;2;98,,
hierro_donde,Hierro_donde,nino,c. Salud en la niñez,Donde obtuvo pastillas o jarabe de hierro para darle al niño,factor,,,1;2;3;4;5;6;96,,
hierro_tiempo,Hierro_tiempo,nino,c. Salud en la niñez,Hace cuanto tiempo que le dio al niño una pastilla o jarabe de hierro,binary,,,0-3 meses;7+ meses,,
antiparasito_6meses,Antiparasito_6meses,nino,c. Salud en la niñez,(Sólo mayores de 24 meses) En los últimos 6 meses le han dado al niño medicina para los parásitos,factor,,,1;2;98,,
dieron_suplementos_filtro,Dieron_Suplementos_filtro,nino,c. Salud en la niñez,Le dieron al niño algun suplemento en las 8 días previas (filtro para la encuesta),binary,,,1;2,,
chispitas_sobre,Chispitas_sobre,nino,c. Salud en la niñez,Enseñó un sobre de chispitas,binary,,,No;Yes,,
acidofolico_frasco,AcidoFolico_frasco,nino,c. Salud en la niñez,Enseñó un frasco de ácido fólico,binary,,,No;Yes,,
